text,label
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid sugar vegetable oils palm andor soybean and hydrogenated soybean sweetener blend invert syrup molasses butter cornstarch nonfat milk contains or less of egg whites salt baking soda soy lecithin contains wheat milk eggs soy,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water canola and extra virgin olive oils contains or less of salt yeast malted barley flour rice flour sesame seed mealcontains wheat sesame seed meal,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid sugar vegetable oils palm andor soybean and hydrogenated soybean fructose corn syrup solids butter contains or less of eggs cornstarch cinnamon ammonium bicarbonate salt natural flavor baking soda cream of tartar canola andor sunflower oil nonfat milk soy lecithin contains wheat milk eggs soy,halal
chicken stock contains less than of mirepoix carrots celery onions salt chicken broth cane sugar natural flavoring onions yeast extract chicken fat dried,halal
cherries enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water vegetable oils palm soybean hydrogenated cottonseed sugar modified cornstarch contains or less of corn syrup high fructose corn syrup salt mono and diglycerides soy lecithin malted barley flour turmeric and annatto extracts for color contains wheat soymade with real cherries may contain pits,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid sugar butter high fructose corn syrup corn syrup cornstarch vegetable oils palm andor soybean and hydrogenated soybean contains or less of apricot puree concentrate raspberry concentrate eggs nonfat milk pectin soy protein baking soda citric acid salt cream of tartar sodium citrate caramel color contains wheat milk egg soy,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water roasted garlic contains or less of salt canola and extra virgin olive oils yeast malted barley flour black pepper rice flour sesame seed mealcontains wheat sesame seed meal,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid sugar vegetable oils palm andor soybean and hydrogenated soybean palm kernel canola milk chocolate sugar cocoa butter nonfat milk chocolate milkfat dextrose soy lecithin vanilla extract butter corn syrup solids fructose contains or less of nonfat milk cornstarch eggs dextrose salt baking soda monocalcium phosphate natural flavor ammonium bicarbonate honey caramel color cellulose gum soy lecithin annatto for color contains wheat milk soy eggs,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water contains or less of salt malt syrup cultured wheat starch and wheat flour distilled vinegar yeast citric acid malted barley flour sesame seed meal rice flourcontains wheat sesame seed meal,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid sugar vegetable oils palm kernel palm andor soybean and hydrogenated soybean fructose corn syrup solids cranberries cream cheese milk and cream cultures salt carob bean gum butter contains or less of nonfat milk eggs cornstarch natural flavors whey powder ammonium bicarbonate milk fat salt monocalcium phosphate baking soda citric acid soy lecithin elderberry juice concentrate colorcontains wheat milk eggs soy,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid semi sweet chocolate sugar chocolate chocolate processed with alkali cocoa butter milkfat soy lecithin vanilla extract sugar vegetable oils palm andor soybean and hydrogenated soybean corn syrup contains or less of cornstarch eggs corn syrup solids salt baking soda titanium dioxide color natural flavor soy lecithin nonfat milk red peppermint oil contains wheat milk soy eggs,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water contains or less of salt sesame seeds malt syrup yeast malted barley flour rice flourcontains wheat sesame seeds,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid sugar palm oil eggs contains or less of salt nonfat milk cornstarch baking soda cream of tartar natural flavor soy lecithin contains wheat milk eggs soy,halal
vegetable broth water and the concentrated juices of carrot celery celeriac onion cabbage contains less than of mirepoix carrots onions celery salt cane sugar carrot juice yeast extract tomato paste natural flavoring potato flour dehydrated carrots,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water vegetable oils palm soybean hydrogenated cottonseed contains or less of high fructose corn syrup salt mono and diglycerides soy lecithin malted barley flour turmeric and annatto extracts for colorcontains wheat soy,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water contains or less of salt canola and extra virgin olive oils yeast malted barley flour rice flour sesame seed mealcontains wheat sesame seed meal,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid water contains or less of salt malt syrup yeast malted barley flour rice flour sesame seed mealcontains wheat sesame seed meal,halal
prepared organic pinto beans water sea salt calcium chloride,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid semi sweet chocolate sugar chocolate chocolate processed with alkali cocoa butter milkfat soy lecithin vanilla extract sugar palm andor soybean and hydrogenated soybean oil eggs contains or less of cornstarch salt baking soda soy lecithin natural flavor nonfat milkcontains egg wheat milk soy,halal
prepared pinto beans water tomato puree tomato paste water contains or less of mexican oregano tomato powder spice onion powder garlic powder natural flavor modified corn starch jalapeo powder salt extractive of paprika,halal
orange juice from concentrate filtered water orange juice concentrate ascorbic acid vitamin c,halal
filtered water high fructose corn syrup apple juice from concentrate filtered water apple juice concentrate pineapple juice from concentrate filtered water pineapple juice concentrate cherry juice from concentrate filtered water cherry juice concentrate citric acid for tartness natural and artificial flavor pectin ascorbic acid vitamin c sodium citrate gum arabic ester gum red sucralose,halal
filtered water high fructose corn syrup cranberry juice from concentrate filtered water cranberry juice concentrate apple juice from concentrate filtered water apple juice concentrate citric acid for tartness grape juice concentrate for color ascorbic acid vitamin c natural flavor,halal
filtered water high fructose corn syrup cranberry juice from concentrate filtered water cranberry juice concentrate grape juice from concentrate filtered water grape juice concentrate natural flavor citric acid for tartness ascorbic acid vitamin c,halal
filtered water high fructose corn syrup orange juice from concentrate filtered water orange juice concentrate pineapple juice from concentrate filtered water pineapple juice concentrate citric acid for tartness natural flavor sodium citrate ascorbic acid vitamin c pectin gum arabic ester gum sucralose beta carotene for color yellow,halal
filtered water high fructose corn syrup apple juice from concentrate filtered water apple juice concentrate kiwi juice from concentrate filtered water kiwi juice concentrate strawberry juice from concentrate filtered water strawberry juice concentrate citric acid for tartness natural and artificial flavor pectin ascorbic acid vitamin c sodium citrate gum arabic ester gum sucralose red,halal
filtered water concord grape juice high fructose corn syrup grape juice concentrate for color citric acid for tartness ascorbic acid vitamin c pectin natural flavor sucralose,halal
apple juice from concentrate filtered water apple juice concentrate ascorbic acid vitamin c malic acid for tartness,halal
basted with up to added solution of water potassium chloride vinegar natural flavor,halal
pork,haram
basted with up to added solution of water maltodextrin salt potassium chloride sodium acetate sodium diacetate sodium carbonate natural flavor,halal
basted nte added solution of water potassium chloride vinegar natural flavor,halal
basted nte added solution of water potassium chloride vinegar natural flavor seasonings honey granules cane sugar and honey sriracha chili sauce chili peppers vinegar dehydrated garlic sugar salt natural flavors xanthan gum and maltodextrin sugar salt dehydrated garlic red pepper corn starch yeast extract and sucralose,halal
solution water potassium chloride vinegar natural flavor,halal
basted nte added solution of water potassium chloride vinegar natural flavor seasoning applewood smoked bacon cured with water salt sugar smoke flavoring sodium phosphates sodium nitrite may also contain sodium ascorbate sodium erythorbate flavoring potassium chloride dextrose seasonings sugar natural bacon flavor maltodextrin autolyzed yeast extract natural flavor contains natural smoke flavor sugar salt ground chilies salt spices granulated garlic granulated onion,haram
basted nte added solution of water potassium chloride vinegar natural flavor seasoning chili pepper sugar salt brown sugar molasses powder molasses and maltodextrin tomato powder dehydrated garlic dehydrated onion natural hickory smoke flavor worcestershire sauce vinegar molasses corn syrup salt caramel color garlic powder sucrose spices tamarind natural flavor and sulfating agents and maltodextrin black pepper vinegar powder maltodextrin vinegar and food starchmodified red pepper,halal
basted with up to solution of water potassium chloride vinegar natural flavor,halal
basted with up to added solution of water potassium chloride vinegar natural flavor seasoning sugar salt food starchmodified natural and artificial flavor cinnamon and smoked flavor,halal
basted nte added solution of water potassium chloride vinegar natural flavor seasonings spices including chili pepper salt dehydrated garlic lemon juice powder corn syrup solids lemon juice and lemon oil lemon peel garlic powder natural hickory smoke flavor maltodextrin natural hickory smoke flavor,halal
basted nte added solution of water potassium chloride vinegar natural flavor seasoning sugar and honey blend powder cane sugar honey maltodextrin tomato powder salt dehydrated garlic dehydrated onion caramel color vinegar powder maltodextrin vinegar and food starchmodified black pepper chili pepper red pepper coriander sucralose natural hickory smoke flavor,halal
basted nte added solution of water potassium chloride vinegar natural flavor seasonings soy sauce powder soy sauce wheat soybeans salt maltodextrin and salt brown sugar salt yeast extract dehydrated garlic natural flavors tomato powder citric and malic acid red pepper sodium diacetate and sucralose contains wheat and soy products,halal
basted with up to solution of water potassium chloride vinegar natural flavor jalapeno seasonings salt vinegar solids maltodextrin white distilled vinegar modified food starch sugar granulated onion granulated garlic chilies inactive dried torula yeast citric acid jalapeno flavor green bell pepper powder spices,halal
basted nte added solution of water potassium chloride vinegar natural flavor seasonings salt spices dehydrated garlic dehydratedonion,halal
cured with water salt sodium phosphate honey sodium erythorbate flavoring sodium nitrite,halal
pork ham,haram
water chicken stock spaetzle dumplings water enriched wheat flour wheat flour malted barley flour niacin ferrous sulfate thiamine mononitrate riboflavin folic acid eggs enriched durum wheat flour durum wheat flour niacin ferrous sulfate thiamine mononitrate riboflavin folic acid salt spices natural flavor turmeric for color chicken meat carrots celery vegetable oil contains less than of green beans peas modified food starch salt wheat flour soy protein concentrate monosodium glutamate sugar onions soy protein isolate sodium phosphate beta carotene for color flavoring spice chicken butter cream milk annatto cream cream soy lecithin chicken fat dehydrated,halal
water beef stock carrots potatoes seasoned beef beef broth and modified cornstarch product beef beef broth salt modified cornstarch sodium phosphate spice tomato puree water tomato paste celery peas contains less than of modified food starch wheat flour potassium chloride yeast extract flavoring caramel color salt hydrolyzed yeast protein hydrolyzed soy protein beef fat dextrose hydrolyzed wheat gluten onion extract garlic oil,haram
boneless chicken breast with rib meat water salt sodium phosphates breaded with enriched bleached wheat flour and durum flour enriched with niacin ferrous sulfate thiamine mononitrate riboflavin folic acid water modified food starch salt garlic powder spices soybean oil yellow corn flour leavening sodium acid pyrophosphate sodium bicarbonate dextrose extractives of paprika cellulose gum sodium carboxymethylcellulose natural flavor sodium alginate not more than silicon dioxide added to prevent caking,haram
chicken water salt sodium phosphates breaded with bleached wheat flour water yellow corn flour vital wheat gluten wheat flour salt food starchmodified dried egg whites spices leavening sodium acid pyrophosphate sodium bicarbonate monocalcium phosphate paprika extract color honey powder corn syrup solids dried honey wheat starch soy flour calcium stearate soy lecithin spice extracts dried onion natural flavor onion powder,halal
chicken water salt sodium phosphates breaded with water bleached wheat flour yellow corn flour vital wheat gluten corn starch salt egg white sucrose leavening sodium acid pyrophosphate sodium bicarbonate sodium alginate soy flour dextrose spice honey powder corn syrup solids honey wheat starch soy flour calcium stearate lecithin natural flavor paprika extract color,halal
chicken drummettes water isolated soy protein salt sodium phosphates breaded with bleached wheat flour water yellow corn flour vital wheat gluten salt food starchmodified dried egg whites spices leavening sodium acid pyrophosphate sodium bicarbonate monocalcium phosphate paprika extract color dried onion honey powder corn syrup solids dried honey wheat starch soy flour calcium stearate lecithin spice extract,halal
chicken breast with rib meat water isolated soy protein seasoning modified corn starch dehydrated garlic dehydrated onion maltodextrin salt natural flavor spice extractives salt sodium phosphates coating rice flour pregelatinized rice flour garlic powder onion powder salt spice citric acid soybean oil processing aid maltodextrin paprika with ethoxyquin added as a preservative lemon oil lemon juice ascorbic acid,halal
chicken breast fillets water isolated soy protein with less than soy lecithin seasoning sugar garlic romano cheese part skim cows milk cheese cultures salt enzymes dehydrated onion salt sodium phosphates coating corn flour enriched wheat flour wheat flour niacin reduced iron thiamine mononitrate riboflavin folic acid salt corn starch spices paprika maltodextrin caramel color garlic powder extractives of paprika,haram
chicken st and nd wing portions water seasoning modified food starch rice flour dextrose algin seasoning sodium phosphates modified food starch corn syrup solids salt algin spice extracts salt caramelized sugar syrup,halal
boneless chicken breast with rib meat water vegetable protein product isolated soy protein magnesium oxide zinc oxide niacinamide ferrous sulfate vitamin b copper gluconate vitamin a palmitate calcium pantothenate pyridoxine hydrochloride thiamine mononitrate riboflavin salt sodium phosphates garlic powder spice soybean oil breaded with enriched bleached wheat and enriched durum flours enriched with niacin ferrous sulfate thiamine mononitrate riboflavin folic acid water modified food starch salt garlic powder spices soybean oil yellow corn flour leavening sodium acid pyrophosphate sodium bicarbonate dextrose extractives of paprika cellulose gum sodium carboxymethylcellulose natural flavor sodium alginate,halal
chicken wings water white vinegar seasoning spice salt garlic powder spice extractive sodium phosphates breaded with bleached wheat flour water yellow corn flour vital wheat gluten salt food starchmodified dried egg whites spices leavening sodium acid pyrophosphate sodium bicarbonate monocalcium phosphate paprika extract color dried onion honey powder corn syrup solids dried honey wheat starch soy flour calcium stearate lecithin spice extract,halal
chicken breast with rib meat water isolated soy protein salt sodium phosphates seasoning salt garlic powder spice soybean oil breaded with enriched bleached wheat flour wheat flour niacin reduced iron thiamine mononitrate riboflavin folic acid water yellow corn flour food starchmodified iodized salt spices onion powder leavening sodium acid pyrophosphate sodium bicarbonate dextrose soybean oil dried whey paprika extract color soy flour sodium alginate nonfat milk natural flavor egg,halal
skinless boneless chicken breast fillet water seasoning modified food starch carrageenan sugar seasoning salt onion powder yeast extract torula yeast garlic powder spices disodium inosinate and disodium guanylate silicon dioxide flavor hydrolyzed soy protein autolyzed yeast extract natural flavor hydrolyzed corn protein natural chicken flavor maltodextrin chicken fat salt silicon dioxide safflower oil thiamine hydrochloride corn syrup solids disodium guanylate disodium inosinate paprika spice extractives salt sodium phosphates breaded with bleached enriched wheat flour wheat flour niacin reduced iron thiamine mononitrate riboflavin folic acid water wheat flour sugar salt leavening sodium bicarbonate sodium aluminum phosphate monocalcium phosphate nonfat dry milk spices whole egg solids dried whole eggs corn syrup solids salt yeast extract disodium inosinate and disodium guanylate paprika extractives of turmeric,haram
boneless skinless chicken breast fillets with up to of a solution of water salt and sodium phosphates,halal
boneless chicken breast meat with rib meat water modified food starch salt sodium phosphates breaded with enriched wheat flour wheat flour niacin reduced iron thiamine mononitrate riboflavin folic acid wateryellow corn flour modified corn starch spices salt leavening sodium acid pyrophosphate sodium bicarbonate monocalcium phosphate corn starch garlic powder sugar dried buttermilk disodium inosinate and disodium guanylate tricalcium phosphate onion powder dried egg whites yeast extract mono and diglycerides malt extract sauce high fructose corn syrup soy sauce water wheat soybeans salt and less than sodium benzoate as a preservative brown sugar distilled vinegar worcestershire sauce distilled vinegar molasses sugar water salt caramel color garlic powder spices tamarind natural flavor bourbon water caramelized sugar food starchmodified salt dehydrated onion and garlic spices citric acid xanthan gum potassium sorbate and sodium benzoate as a preservative,haram
chicken with wings removed water salt sodium phosphates breaded with water bleached wheat flour yellow corn flour vital wheat gluten corn starch salt egg white sucrose leavening sodium acid pyrophosphate sodium bicarbonate sodium alginate soy flour dextrose spice honey powder corn syrup solids honey wheat starch soy flour calcium stearate lecithin natural flavor paprika extract color,halal
chicken breast with rib meat water isolated soy protein with less than soy lecithin seasoning modified corn starch dehydrated garlic dehydrated onion maltodextrin salt natural flavor spice extractives salt sodium phosphates breaded with whole wheat flour whole grain yellow corn flour water enriched wheat flour wheat flour niacin reduced iron thiamine mononitrate riboflavin folic acid brown sugar wheat gluten soybean oil salt dried onion dried garlic corn starch potassium chloride spices dried yeast citric acid sugar paprika extract color turmeric extract color,halal
boneless chicken breast meat with rib meat water seasoning modified food starch carrageenan salt sodium phosphates breaded with bleached wheat flour water yellow corn flour food starchmodified wheat flour salt yeast vital wheat gluten dextrose spices and coloring leavening sodium acid pyrophosphate sodium bicarbonate soybean oil natural flavor,halal
chicken breast with rib meat water modified food starch seasoning salt potassium chloride natural flavors maltodextrin sodium phosphates,halal
made with smiles and enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid cheddar cheese cultured milk salt enzymes vegetable oils canola sunflower andor soybean salt contains or less of yeast whey sugar onion powder red bell peppers paprika extract color autolyzed yeast extract green bell peppers monterey jack cheese milk cultures salt enzymes spices celery monocalcium phosphate yeast extract lactic acid garlic powder calcium lactate natural flavor citric acid disodium phosphate jalapeno peppers baking soda contains wheat milk,halal
enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid sugar butter milk pecans contains or less of eggs baking soda salt vanilla extract soy lecithin tree nut meal almonds cashews macadamia nuts walnuts contains wheat milk eggs soy pecans almonds cashews macadamia nuts walnuts,halal
vanilla yogurt flavored coating sugar hydrogenated palm kernel oil nonfat milk powder yogurt powder cultured whey and nonfat milk whey powder color added titanium dioxide soy lecithin an emulsifier and vanilla california raisins tapioca dextrin confectioners glaze,haram
water high fructose corn syrup vegetable juice water and concentrated juice of carrots citric acid natural flavoring vitamin c ascorbic acid sucralose niacinamide vitamin b pyridoxine hydrochloride vitamin b cyanocobalamin vitamin b,halal
california dried pitted plums pitted prunes potassium sorbate as a preservative,haram
mixed jumbo raisins sulfur dioxide sulfites added as a preservative,halal
vanilla yogurt flavored coating sugar hydrogenated palm kernel oil nonfat milk powder yogurt powder cultured whey and nonfat milk whey powder color added titanium dioxide soy lecithinan emulsifier vanilla california raisins tapioca dextrin confectioners glaze,haram
california seedless raisins,halal
basted nte added solution of water potassium chloride vinegar natural flavor contains up to emulsified pork loin trimmings seasonings rubbed with salt sugar jalapeno pepper spices including basil and ginger dehydrated garlic dehydrated onion corn syrup solids natural flavors including extractives of celery seed lemongrass dehydrated cilantro lime juice solids extractives of paprika for flavor,haram
california seedless raisins dark chocolate yogurt flavored coating sugar hydrogenated palm kernel oil cocoa powder whey powder nonfat milk powder yogurt powder cultured whey and nonfat milk soy lecithin an emulsifier natural vanilla flavor tapioca dextrin confectioners glaze,haram
sweet potato juice from concentrate purified water natural flavoring citric acid pineapple juice from concentrate vitamin c ascorbic acid mango puree stevia leaf extract,halal
semi sweet chocolate sugar chocolate chocolate processed with alkali cocoa butter milkfat soy lecithin vanilla extract enriched wheat flour flour niacin reduced iron thiamine mononitrate riboflavin folic acid sugar vegetable oils canola andor soybean hydrogenated soybean cocoa processed with alkali contains or less of cornstarch eggs natural flavors chocolate salt cocoa powder baking soda soy lecithin nonfat milk contains wheat milk eggs soy,halal
dried apricots prepared with sulfur dioxide sulfites and potassium sorbate as a preservative,haram
california golden raisins sulfur dioxide added as a preservative,halal
organic wheat flour organic agave organic butter cream salt organic chocolate chips organic sugar organic chocolate liquor organic cocoa butter organic soy lecithin emulsifier organic expeller pressed sunflower oil organic sweet potato natural vanilla flavor baking powder sea salt,haram
organic strawberries organic peaches organic pineapple organic mango,halal
walnuts,halal
enriched flour wheat flour niacin reduced iron thiamin mononitrate riboflavin folic acid water sugar soybean oil andor cottonseed oil high fructose corn syrup contains or less of dextrose corn starch palm and palm kernel oil leavening sodium bicarbonate sodium aluminium phosphate dried sweet whey solids corn flour corn syrup yeast salt modified corn starch non fat dry milk citric acid eggs strawberry puree dextrin natural and artificial flavors guar gum mono and diglycerides sodium stearoyl lactylate soy lecithin agar artificial color pectin potassium sorbate preservative sodium hexametaphosphate stearic acid locust bean gum xanthan gum ammonium sulfate lcysteine sodium citrate carrageenan enzymatically modified wheat gluten silicon dioxide red blue,haram
filling carrots onions string beans soybeans zucchini oat bran peas corn spinach broccoli potato flakes red peppers arrowroot expeller pressed canola oil cornmeal garlic salt parsley black pepper dough whole wheat flour filtered water sugar expeller pressed canola oil salt expeller pressed canola oil,halal
dried plums purified water iodized salt citric acid chili artificial flavor and spices,halal
dried plums punfied water sugar lodized salt artificial flavors chili artificial colors fdc yellow fdc red and spices,halal
organic raw walnuts and organic raw cashews,halal
a seasonal mix of root vegetables taro sweet potato batata yuca parsnip expeller pressed canola oil andor safflower oil andor sunflower oil sea salt beet juice concentrate color,halal
stone ground corn high oleic sunflower andor safflower oil organic sprouted flax seed organic sprouted quinoa organic sprouted brown rice organic sprouted daikon radish seed sprouted chia seed sprouted broccoli seed pure sea salt,halal
organic apple puree organic carrot puree organic squash puree organic lemon juice concentrate,halal
raw organic cashew butter raw organic almond oil raw blue algae raw organic agave and organic lemon oil,halal
raw organic cashew butter raw organic almond oil raw organic goji berry powder raw organic elderberry powder raw organic agave and raw organic stevia,halal
organic pasteurized cultured milk cream sea salt,halal
precooked parboiled long grain brown rice,halal
pork mechanically separated chicken water beef salt or less of dextrose sodium acetate sodium diacetate flavoring sugar sodium erythorbate maple syrup yeast extract sodium nitrite extractives of paprika and turmeric,haram
pineapple water sugar and citric acid,halal
sugar snap peas carrots onions mushrooms,halal
brown rice flour potato starch safflower oil sorghum flour quinoa seeds sesame seeds millet flax seeds amaranth seeds sea salt,halal
enriched precooked long grain white rice enriched with niacin iron ferric orthophosphate thiamin thiamin mononitrate and folic acid,halal
enriched wheat flour niacin iron thiamine mononitrate vitamin b riboflavin vitamin b folic acid sugar vegetable shortening contains partially hydrogenated soybean oil andor cottonseed oil andor canola oil adds a dietarily insignificant amount of saturated fat glucose malt ammonium bicarbonate salt ginger sodium bicarbonate sodium sulfite artificial flavor artificial colors yellow yellow red,halal
enriched wheat flour niacin iron thiamin mononitrate vitamin b riboflavin vitamin b folic acid sugar vegetable shortening contains partially hydrogenated soybean oil andor cottonseed oil andor canola oil adds a dietarily insignificant amount of saturated fat glucose malt ammonium bicarbonate vanilla flavor salt sodium bicarbonate sodium sulfite artificial colors yellow yellow red,halal
enriched wheat flour niacin iron thiamine mononitrate vitamin b riboflavin vitamin b folic acid sugar vegetable shortening contains partially hydrogenated soybean oil andor cottonseed oil andor canola oil adds a dietarily insignificant amount of saturated fat ammonium bicarbonate malt glucose salt almond flavor sodium bicarbonate and sodium sulfite,halal
enriched wheat flour niacin iron thiamine mononitrate vitamin b riboflavin vitamin b folic acid sugar vegetable shortening contains partially hydrogenated soybean oil andor cottonseed oil andor canola oil adds a dietarily insignificant amount of saturated fat ammonium bicarbonate malt glucose salt cinnamon sodium bicarbonate cinnamon flavor sodium sulfite,halal
turkey less than salt rosemary extract,halal
meat sauce tomato puree water ground beef cottage cheese grade a skim milk cream contains less than of the following salt guar gum calcium sulfate locust bean gum carrageenan mono and diglycerides sodium and monopotassium phosphate dextrose water citric acid lactic acid phosphoric acid natural flavoring calcium chloride cultures enzymes seasoning salt sugar onion powder spices garlic powder food starchmodified textured vegetable protein concentrate soy protein concentrate caramel color cooked enriched lasagna pasta water semolina enriched flour niacin ferrous sulfate thiamine mononitrate riboflavin folic acid mozzarella cheese low moisture part skim mozzarella cheese pasteurized part skimmilk cheese cultures salt enzymes powdered cellulose added to prevent caking,haram
filtered water evaporated cane juice almonds expeller pressed oil sunflower andor safflower andor canola tapioca maltodextrin cocoa processed with alkali potato starch guar gum carob bean gum carrageenan soy lecithin natural flavors sea salt,halal
